"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"129","Dedans",,,,"6","1","1","54","2015-06-12 11:54:22","2016-02-02 09:45:43","Responsable 53"
"130","Fermes et cueillettes",,,,"1","3","1","88","2015-06-12 11:54:37","2016-02-02 09:45:43","Responsable 87"
"131","Spectacles",,,,"2","0","1","88","2015-06-12 11:55:41","2016-02-02 09:45:43","Responsable 87"
"132","Ateliers",,,,"2","1","1","88","2015-06-12 11:55:53","2016-02-02 09:45:43","Responsable 87"
"133","Raconte moi une histoire",,,,"2","2","1","88","2015-06-12 11:56:13","2016-02-02 09:45:43","Responsable 87"
"134","Boutiques et restaurants sympas",,,,"1","0","0","54","2015-06-12 11:56:42","2018-10-09 12:30:55","Maud Léger"
"135","Pour les parents",,,,"5","0","1","54","2015-06-12 11:57:04","2018-09-24 14:28:26","Responsable 53"
"136","Musées dépoussiérés",,,,"3","0","1","88","2015-06-12 11:57:16","2016-02-02 09:45:43","Responsable 87"
"137","Hébergements insolites",,,,"5","1","1","54","2015-06-12 11:57:37","2018-09-24 14:28:26","Responsable 53"
"138","Villes, villages et vieilles pierres",,,,"3","1","1","88","2015-06-12 11:58:06","2016-02-02 09:45:43","Responsable 87"
"139","Châteaux",,,,"3","2","1","88","2015-06-12 12:01:06","2016-02-02 09:45:43","Responsable 87"
"140","Artisanat",,,,"3","3","1","88","2015-06-12 12:01:23","2016-02-02 09:45:43","Responsable 87"
"141","Loisirs dehors",,,,"4","1","1","88","2015-06-12 12:02:51","2016-02-02 09:45:43","Responsable 87"
"142","Loisirs dedans",,,,"4","0","1","88","2015-06-12 12:03:19","2016-02-02 09:45:43","Responsable 87"
"143","Boutiques sympas",,,,"5","0","1","88","2015-06-12 12:07:45","2016-02-02 09:45:43","Responsable 87"
"261","Cafés et restos Kids Friendly",,,,"5","3","1","88","2015-09-11 16:08:49","2016-02-02 09:45:43","Responsable 87"
"146","En intérieur",,,,"6","0","1","84","2015-06-14 13:47:14","2016-02-02 09:45:43","Responsable 83"
"147","En extérieur",,,,"6","1","1","84","2015-06-14 13:47:23","2016-02-02 09:45:43","Responsable 83"
"158","En plein air",,,,"4","0","1","84","2015-06-15 13:07:02","2016-02-02 09:45:43","Responsable 83"
"150","Balades et Jardins",,,,"1","0","1","84","2015-06-14 15:50:38","2016-02-02 09:45:43","Responsable 83"
"151","Fermes et cueillettes",,,,"1","1","1","84","2015-06-14 15:50:54","2016-02-02 09:45:43","Responsable 83"
"153","Petites et Grosses bêtes",,,,"1","1","1","84","2015-06-14 15:51:18","2019-01-31 08:50:33","Responsable 83"
"154","Ateliers",,,,"1","0","0","84","2015-06-14 15:51:54","2019-01-31 08:51:30","Responsable 83"
"155","Spectacles",,,,"1","0","0","84","2015-06-14 15:52:03","2019-01-31 08:51:22","Responsable 83"
"156","Spectacles",,,"spectacles","2","0","1","84","2015-06-14 15:53:31","2018-10-25 11:45:37","Flavie Chiron"
"159","A l&#39;intérieur",,,,"4","1","1","84","2015-06-15 13:07:10","2016-02-02 09:45:43","Responsable 83"
"160","Cinés sympas",,,,"2","2","1","54","2015-06-15 19:16:49","2016-02-02 09:45:43","Responsable 53"
"161","Médiathèques et ludothèques",,,,"2","3","1","54","2015-06-15 19:17:27","2021-06-24 10:17:51","Maud Léger"
"162","Musées",,,,"3","0","1","54","2015-06-15 19:17:56","2016-02-02 09:45:43","Responsable 53"
"163","Villages et vieilles pierres",,,,"3","1","1","54","2015-06-15 19:18:21","2016-02-02 09:45:43","Responsable 53"
"164","Châteaux et Manoirs",,,,"1","2","0","54","2015-06-15 19:18:43","2018-10-09 12:35:53","Maud Léger"
"165","Fermes et cueillettes",,,,"1","1","1","36","2015-06-16 08:06:28","2016-02-02 09:45:43","Responsable 35"
"166","Applaudissez !",,,,"2","0","1","36","2015-06-16 08:08:08","2016-02-02 09:45:43","Responsable 35"
"167","Ateliers et compagnie",,,,"2","1","1","36","2015-06-16 08:09:06","2016-02-02 09:45:43","Responsable 35"
"244","Petites et grosses bêtes",,,,"1","2","1","36","2015-07-07 10:00:38","2016-02-02 09:45:43","Responsable 35"
"169","Raconte-moi !",,,,"2","2","1","36","2015-06-16 08:10:08","2016-02-02 09:45:43","Responsable 35"
"170","Musées dépoussiérés",,,,"3","0","1","36","2015-06-16 08:10:38","2016-02-02 09:45:43","Responsable 35"
"171","Villages &#38; vieilles pierres",,,,"3","1","1","36","2015-06-16 08:11:27","2016-02-02 09:45:43","Responsable 35"
"172","Châteaux",,,,"3","2","1","36","2015-06-16 08:11:40","2016-02-02 09:45:43","Responsable 35"
"173","En plein air",,,,"4","1","1","36","2015-06-16 08:13:42","2016-02-02 09:45:43","Responsable 35"
"174","Boutiques sympas",,,,"5","0","1","36","2015-06-16 08:14:58","2016-02-02 09:45:43","Responsable 35"
"175","Cafés &#38; resto kids friendly",,,,"5","1","1","36","2015-06-16 08:15:17","2016-02-02 09:45:43","Responsable 35"
"176","Assos pour les parents",,,,"5","2","1","36","2015-06-16 08:15:30","2016-02-02 09:45:43","Responsable 35"
"177","Hébergements insolites",,,,"5","3","1","36","2015-06-16 08:15:43","2016-02-02 09:45:43","Responsable 35"
"178","En intérieur",,,,"6","0","1","36","2015-06-16 08:16:23","2016-02-02 09:45:43","Responsable 35"
"179","En plein air",,,,"6","1","1","36","2015-06-16 08:16:31","2016-02-02 09:45:43","Responsable 35"
"180","Fermes et cueillettes",,,,"1","1","1","86","2015-06-18 08:30:07","2016-02-02 09:45:43","Responsable 85"
"181","Petites et grosses bêtes",,,,"1","2","1","86","2015-06-18 08:30:26","2016-02-02 09:45:43","Responsable 85"
"182","Au bord de l&#39;eau",,,,"1","3","1","86","2015-06-18 08:30:40","2016-07-28 11:19:59","Responsable 85"
"183","Spectacles",,,,"2","0","1","86","2015-06-18 08:31:23","2016-02-02 09:45:43","Responsable 85"
"184","Cinés sympas",,,,"2","1","1","86","2015-06-18 08:31:40","2016-02-02 09:45:43","Responsable 85"
"185","Ateliers",,,,"2","2","1","86","2015-06-18 08:31:53","2016-02-02 09:45:43","Responsable 85"
"186","Raconte-moi une histoire",,,,"2","3","1","86","2015-06-18 08:32:16","2016-02-02 09:45:43","Responsable 85"
"187","musées dépoussiérrés",,,,"3","0","1","86","2015-06-18 08:32:47","2016-02-02 09:45:43","Responsable 85"
"188","Châteaux et vieilles pierres",,,,"3","1","1","86","2015-06-18 08:33:12","2017-07-05 15:46:32","Responsable 85"
"189","Artisanat",,,,"3","2","1","86","2015-06-18 08:33:24","2016-07-28 11:21:06","Responsable 85"
"190","A la mer !",,,,"3","3","1","86","2015-06-18 08:34:13","2016-02-02 09:45:43","Responsable 85"
"191","Se défouler dehors",,,,"4","0","1","86","2015-06-18 08:34:55","2016-02-02 09:45:43","Responsable 85"
"192","Se défouler dedans",,,,"4","1","1","86","2015-06-18 08:35:18","2016-02-02 09:45:43","Responsable 85"
"193","Boutiques sympas",,,,"5","0","1","86","2015-06-18 08:35:55","2016-02-02 09:45:43","Responsable 85"
"194","Café &#38; resto kids friendly",,,,"5","1","1","86","2015-06-18 08:36:22","2016-02-02 09:45:43","Responsable 85"
"195","Assos d&#39;aide aux parents",,,,"5","2","1","86","2015-06-18 08:36:37","2016-02-02 09:45:43","Responsable 85"
"196","Hébergements insolites",,,,"5","3","1","86","2015-06-18 08:37:12","2016-07-28 11:21:49","Responsable 85"
"197","En exterieur",,,,"6","0","1","86","2015-06-18 08:37:34","2016-02-02 09:45:43","Responsable 85"
"198","En interieur",,,,"6","1","1","86","2015-06-18 08:37:45","2016-02-02 09:45:43","Responsable 85"
"199","Assos et activités pour les parents",,,,"5","1","1","88","2015-06-18 09:01:04","2016-05-10 10:38:04","Responsable 87"
"200","Hébergements insolites",,,,"5","2","1","88","2015-06-18 09:01:17","2016-02-02 09:45:43","Responsable 87"
